"chapter"|"year"|"value"|"time"
"20"|"2022*"|31525.57639|2022-03-22 15:10:53
"21"|"1998"|0|2022-03-22 15:10:53
"21"|"1999"|0|2022-03-22 15:10:53
"21"|"2000"|0|2022-03-22 15:10:53
"21"|"2001"|0|2022-03-22 15:10:53
"21"|"2002"|0|2022-03-22 15:10:53
"21"|"2003"|0|2022-03-22 15:10:53
"21"|"2004"|0|2022-03-22 15:10:53
"21"|"2005"|0|2022-03-22 15:10:53
"21"|"2006"|0|2022-03-22 15:10:53
"21"|"2007"|255942.45782|2022-03-22 15:10:53
"21"|"2008"|286060.05234|2022-03-22 15:10:53
"21"|"2009"|293006.40103|2022-03-22 15:10:53
"21"|"2010"|364548.88892|2022-03-22 15:10:53
"21"|"2011"|379903.69483|2022-03-22 15:10:53
"21"|"2012"|428043.42126|2022-03-22 15:10:53
"21"|"2013"|447955.54087|2022-03-22 15:10:53
"21"|"2014"|484208.99946|2022-03-22 15:10:53
"21"|"2015"|506202.54666|2022-03-22 15:10:53
"21"|"2016"|502585.21108|2022-03-22 15:10:53
"21"|"2017"|530098.99528|2022-03-22 15:10:53
"21"|"2018"|563575.04815|2022-03-22 15:10:53
"21"|"2019"|599820.762950001|2022-03-22 15:10:53
